,Depth [m],Practical Salinity [psu],Temperature [deg C]
0,0.5000002980232239,19.681507110595703,7.6498589515686035
1,1.5000030994415283,21.74203872680664,7.9932427406311035
2,2.500011444091797,23.44782066345215,8.262228012084961
3,3.500030517578125,24.50657844543457,8.452447891235352
4,4.500070571899414,25.25078010559082,8.612563133239746
5,5.500150680541992,25.851594924926758,8.760665893554688
6,6.50031042098999,26.347780227661133,8.89145565032959
7,7.5006232261657715,26.754165649414062,9.002346992492676
8,8.501235961914062,27.09025764465332,9.097125053405762
9,9.502432823181152,27.373615264892578,9.179513931274414
10,10.504765510559082,27.609207153320312,9.251031875610352
11,11.50931167602539,27.807636260986328,9.312589645385742
12,12.518166542053223,27.976417541503906,9.365046501159668
13,13.535411834716797,28.123075485229492,9.410112380981445
14,14.568982124328613,28.252239227294922,9.448424339294434
15,15.63428783416748,28.367904663085938,9.480542182922363
16,16.761173248291016,28.473934173583984,9.507226943969727
17,18.00713539123535,28.574501037597656,9.529067993164062
18,19.48178482055664,28.6751651763916,9.545953750610352
19,21.389978408813477,28.781658172607422,9.555980682373047
20,24.100255966186523,28.900184631347656,9.552986145019531
21,28.229915618896484,29.031274795532227,9.52563190460205
22,34.68575668334961,29.166650772094727,9.460914611816406
23,44.517723083496094,29.289066314697266,9.37298583984375
24,58.48433303833008,29.3988094329834,9.314327239990234
25,76.58558654785156,29.524263381958008,9.334321022033691
26,98.06295776367188,29.738845825195312,9.455692291259766
27,121.86651611328125,29.99042320251465,9.615647315979004
28,147.08946228027344,30.195531845092773,9.720541000366211
29,164.99468994140625,30.296865463256836,9.763903617858887
